"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200"
"37179000006",7,2,1,13,1
"37179000005",7,2,1,13,1
"3706100ALBE",4,5,5,5,5
"37067000111",12,13,2,2,9
"37179000004",7,2,1,13,1
"37179000003",7,2,1,13,1
"37179000002",7,2,1,13,1
"3701300WDPD",4,6,6,8,8
"37125000PDN",2,11,3,3,11
"37179000001",7,2,1,13,1
"371510000TT",11,2,9,7,4
"37177000003",4,6,6,8,8
"37037000018",8,8,12,12,12
"37177000002",4,6,6,8,8
"371510000TR",11,13,9,7,4
"37183017-13",5,5,4,6,3
"3701700P202",2,11,3,3,11
"37183017-12",5,5,4,6,6
"3701700P201",2,11,3,3,11
"37183017-11",5,5,4,6,3
"37179000009",11,2,1,13,1
"37179000008",11,2,1,3,11
"37067000112",12,13,2,2,9
"37037000042",8,8,12,12,12
"3705100MR02",2,11,3,3,11
"3710900LW31",13,1,13,9,2
"371510000UG",11,2,9,7,4
"3708100G42B",9,12,8,4,7
"3710900SL24",10,7,7,9,2
"3708100G42A",9,12,8,4,7
"3710900LW18",13,7,7,9,2
"3714500SWST",9,12,8,4,7
"37037000045",8,8,12,12,12
"371510000SW",11,2,9,7,4
"37009000012",13,1,13,9,2
"37129000W25",3,3,5,5,5
"37183017-07",5,5,4,6,6
"37009000011",13,1,13,9,2
"37183017-06",5,5,4,6,6
"37129000W24",3,3,5,5,5
"37009000010",13,1,13,9,2
"371510000ST",11,2,9,7,4
"37183017-05",5,5,4,6,3
"37183017-04",5,5,4,6,3
"37129000W21",3,3,5,5,5
"37183017-03",5,5,4,6,3
"370910000UN",4,6,6,8,8
"37183017-02",5,5,4,6,3
"37183017-01",5,5,4,6,6
"370210032.1",1,10,10,10,10
"37009000018",13,1,13,9,2
"37009000017",13,1,13,9,2
"37009000016",13,1,13,9,2
"37129000W29",3,3,5,5,5
"37067000101",12,13,2,2,9
"371870000SC",4,6,6,8,8
"37009000015",13,1,13,9,2
"370210045.1",1,10,10,10,10
"37129000W28",3,3,5,5,5
"37009000014",13,1,13,9,2
"37037000030",8,8,12,12,12
"37129000W27",3,3,5,5,5
"37009000013",13,1,13,9,2
"37129000W26",3,3,5,5,5
"371190204.1",11,9,9,1,1
"3714100MT19",3,3,5,5,5
"371870000SK",4,6,6,8,8
"371510000TB",11,2,9,7,4
"3704900TE13",4,6,6,8,8
"3713300FS16",3,3,5,5,5
"37081000G13",9,12,8,4,7
"37081000G12",9,12,8,4,7
"37081000G11",9,12,8,4,7
"37081000G10",9,12,8,4,7
"3714100LU16",3,3,5,5,5
"37129000W13",3,3,5,5,5
"37129000W12",3,3,5,5,5
"37081000G19",9,12,8,4,7
"37081000G18",9,12,8,4,7
"37081000G17",9,12,8,4,7
"37081000G16",9,12,8,4,7
"37081000G15",9,12,8,4,7
"37009000009",13,1,13,9,2
"37009000008",13,1,13,9,2
"37081000G14",9,12,8,4,7
"37009000007",13,1,13,9,2
"37009000006",13,1,13,9,2
"37129000W18",3,3,5,5,5
"37009000004",13,1,13,9,2
"37129000W17",3,3,5,5,5
"37009000003",13,1,13,9,2
"37129000W16",3,3,5,5,5
"37009000002",13,1,13,9,2
"37129000W15",3,3,5,5,5
"3706100ROSE",3,3,5,5,5
"37081000G02",9,12,8,4,7
"37081000G01",9,12,8,4,7
"37081000G09",9,12,8,4,7
"37081000G08",9,12,8,4,7
"37081000G07",9,12,8,4,7
"3713100WOPO",4,6,6,8,8
"37081000G06",9,12,8,4,7
"37081000G05",9,12,8,4,7
"370910000WN",4,6,6,8,8
"37081000G04",9,12,8,4,7
"37081000G03",9,12,8,4,7
"3719901-BUR",1,10,10,10,10
"370630034-1",8,8,12,12,12
"3700100010N",9,8,8,4,7
"37081000G35",9,12,8,4,7
"370210010.1",1,10,10,10,10
"370830RR1-2",5,6,6,8,8
"37081000FR4",9,12,8,4,7
"37081000G34",9,12,8,4,7
"37081000G33",9,12,8,4,7
"37081000FR3",9,12,8,4,7
"37081000G32",9,12,8,4,7
"37081000FR2",9,12,8,4,7
"37081000FR1",9,12,8,4,7
"37081000G31",9,12,8,4,7
"3706100WALL",3,3,5,5,5
"37081000G30",9,12,8,4,7
"3712700P18A",5,6,6,8,8
"370630034-2",8,8,12,12,12
"3700100010S",9,8,8,4,7
"37129000W31",3,3,5,5,5
"37081000G39",9,12,8,4,7
"37129000W30",3,3,5,5,5
"37081000G38",9,12,8,4,7
"37081000G37",9,12,8,4,7
"37081000G36",9,12,8,4,7
"3704700P16B",2,11,3,3,11
"3714100CF11",3,3,5,5,5
"3708100JAM5",11,13,2,2,9
"3708100JAM4",9,13,2,2,9
"3714701512B",4,6,6,8,8
"3708100JAM3",9,12,8,4,7
"37037000006",11,11,3,7,4
"3714701512A",4,6,6,8,8
"3708100JAM2",9,12,8,4,7
"3708100JAM1",9,13,2,2,9
"37037000003",8,8,12,12,12
"37025002-03",11,9,9,7,4
"37025002-02",11,9,9,7,4
"37081000G24",9,12,8,4,7
"3705500STPT",4,6,6,8,8
